AGGO       SOAM
AIRA       EURA
ALASKANO   NOAM
ALGOPARK   NOAM
ATCA-104   AUST
AUSTINTX   NOAM
AZORES     EURA
BADARY     EURA
BEIJING    EURA
BERMUDA    NOAM
BLKBUTTE   NOAM
BLOOMIND   NOAM
BR-VLBA    NOAM
BREST      EURA
CARNUSTY   EURA
CARROLGA   NOAM
CEBRER26   EURA
CEDUNA     AUST
CHLBOLTN   EURA
CHICHI10   PHIL
CRIMEA     EURA
CTVASBAY   NOAM
CTVASTJ    NOAM
STJOHNS    NOAM
DAITO      PHIL
DEADMANL   NOAM
DSS13      NOAM
DSS15      NOAM
DSS26      NOAM
DSS45      AUST
DSS36      AUST
DSS34      AUST
DSS63      EURA
DSS65      EURA
DSS65A     EURA
EFLSBERG   EURA
ELY        NOAM
FD-VLBA    NOAM
FLAGSTAF   NOAM
FORT ORD   PCFC
FORTLEZA   SOAM
FORTORDS   PCFC
FTD 7900   NOAM
GGAO7108   NOAM
GGAO12M    NOAM
GILCREEK   NOAM
GIFU3      EURA
GIFU11     EURA
GOLDECHO   NOAM
GOLDMARS   NOAM
GOLDPION   NOAM
GOLDVENU   NOAM
GORF7102   NOAM
GORMAN     PCFC
GRASSE     EURA
HALEAKAL   PCFC
HARTRAO    AFRC
HART15M    AFRC
HARTVDIF   AFRC
HARTDBBC   AFRC
HATCREEK   NOAM
HAYSTACK   NOAM
HN-VLBA    NOAM
HOBART26   AUST
HOBART12   AUST
HOBADBBC   AUST
HOFN       EURA
HOHENFRG   EURA
HOHNBERG   EURA
HRAS 085   NOAM
IRBENE     EURA
ISHIOKA    NOAM
JIAMIS66   EURA
JODRELL2   EURA
JPL MV1    PCFC
JPL MV2    PCFC
JPL MV3    PCFC
KAINAN     EURA
KANOZAN    NOAM
KARLBURG   EURA
KASHIM34   NOAM
KASHIMA    NOAM
KASHIM11   NOAM
KASHI35    EURA 
KATH12M    AUST
KAUAI      PCFC
KIRSBERG   EURA
KITTPEAK   NOAM
KODIAK     NOAM
KOGANEI    NOAM
KOGANEI3   NOAM
KOKEE      PCFC
KOKEE12M   PCFC
KP-VLBA    NOAM
KUNMING    EURA
KWAJAL26   PCFC
LA-VLBA    NOAM
LAJOLLA    NOAM
LEFT85 1   NOAM
LEFTKOK    NOAM
LEONRDOK   NOAM
MACGO12M   NOAM
MADRID64   EURA
MALIBU     PCFC
MAMMOTHL   NOAM
MARCUS     PCFC
MARCUS10   PCFC
MARPOINT   NOAM
MATERA     EURA
MATERA     EURA
MCD 7850   NOAM
MEDICINA   EURA
METSHOVI   EURA
METSAHOV   EURA
MIAMI20    NOAM
MILESMON   NOAM
MIURA      NOAM
MIYAZAKI   EURA
MIZNAO10   NOAM
MOPRA      AUST
VERAMZSW   NOAM
VERAISGK   EURA
VERAIRIK   EURA
VERAOGSW   PHIL
MIZUSGSI   NOAM
MK-VLBA    PCFC
MOJ 7287   NOAM
MOJ 7288   NOAM
MOJAVE12   NOAM
MOJAVLBA   NOAM
MON PEAK   PCFC
MV2ONSLA   EURA
NL-VLBA    NOAM
NOBEY 6M   NOAM
NOBEYA45   NOAM
NOBEYAMA   NOAM
NOME       NOAM
NOTO       AFRC
NOTOVDIF   AFRC
NOTDBBC    AFRC
NOTOX      AFRC
NRAO 140   NOAM
NRAO_140   NOAM
NRAO20     NOAM
GBT        NOAM
NRAO85 1   NOAM
NRAO85 3   NOAM
NRAO85_3   NOAM
NYALES20   EURA
NYALE13S   EURA
NYALDBBC   EURA
OCOTILLO   PCFC
OHIGGINS   ANTA
OHIGGADS   ANTA
ONSALA60   EURA
ONSA13NE   EURA
ONSA13SW   EURA
ONSALAAN   EURA
ONSALA85   EURA
ONSAVDIF   EURA
ONSAFLEX   EURA
OTAY       NOAM
OV-VLBA    NOAM
OVR 7853   NOAM
OVRO 130   NOAM
OVRO 90    NOAM
PARKES     AUST
PBLOSSOM   NOAM
PENTICTN   NOAM
PIETOWN    NOAM
PINFLATS   PCFC
PLATTVIL   NOAM
PRESIDIO   NOAM
PT REYES   PCFC
PVERDES    PCFC
QUABBIN    NOAM
QUINCY     NOAM
RICHMOND   NOAM
ROBLED32   EURA
SADDLEPK   PCFC
SAGARA     NOAM
SANFRANC   NOAM
SANPAULA   PCFC
SANTIA12   SOAM
SC-VLBA    CARB
SEATTLE1   NOAM
SEJONG     EURA
SESHAN25   EURA
SESHAN13   EURA
SEST       SOAM
SHANGHAI   EURA
SINTOTU    NOAM
SINTOTU3   NOAM
SNDPOINT   NOAM
SOURDOGH   NOAM
SUWON      EURA
SVETLOE    EURA
SVERT13V   EURA
SYOWA      ANTA
TAHITI     PCFC
TIANMA65   EURA
TIANMA13   EURA
TATEYAMA   NOAM
TIARET     AFRC
TIDBIN64   AUST
TIGOWTZL   EURA
TIGOCONC   SOAM
TIGO-A     EURA
TITIJIMA   PHIL
TOMAKO11   NOAM
TOULOUSE   EURA
TROMSONO   EURA
TRYSILNO   EURA
TSUKU3     NOAM
TSUKUBA    NOAM
TSUKUB32   NOAM
UCHINOUR   EURA
URUMQI     EURA
USSURISK   EURA
USUDA64    EURA
VACAVILL   NOAM
VANDENBG   PCFC
VERNAL     NOAM
VICTORIA   NOAM
VLA        NOAM
VLA-N8     NOAM
VLBA85 3   NOAM
VNDNBERG   PCFC
WARK12M    AUST
WARK30M    AUST
WEEMAL26   AUST
WERTHOVN   EURA
WESTBRK0   EURA
WESTFORD   NOAM
WETTDBBC   EURA
WETTVDIF   EURA
WETTZ13N   EURA
WETTZ13S   EURA
WETTZELL   EURA
WHTHORSE   NOAM
WIDE85 3   NOAM
YAKATAGA   NOAM
YARRA12M   AUST
YEBES      EURA
YEBES40M   EURA
RAEGYEB    EURA
RAEGSMAR   EURA
YEBESDBC   EURA
YEBDBBC    EURA
YEBEDBBC   EURA
YEBES14    EURA
YELLOWKN   NOAM
YLOW7296   NOAM
YUMA       NOAM
ZELENCHK   EURA
CAS1       NOAM
YAR1       NOAM
PERT       NOAM
TAIW       NOAM
USUD       NOAM
TSKB       NOAM
GUAM       NOAM
TIDB       NOAM
KOKB       NOAM
PAMA       NOAM
FAIR       NOAM
DRAO       NOAM
GOLD       NOAM
YELL       NOAM
PIE1       NOAM
RCM5       NOAM
ALGO       NOAM
WES2       NOAM
AREQ       NOAM
KOUR       NOAM
STJO       NOAM
FORT       NOAM
MAS1       NOAM
MADR       NOAM
VILL       NOAM
KOSG       NOAM
NYAL       NOAM
ONSA       NOAM
TROM       NOAM
KIRU       NOAM
METS       NOAM
HART       NOAM
KIT3       NOAM
KERG       NOAM
DAV1       NOAM
ZWEN       NOAM
BOGT       NOAM
MCM4       NOAM
MAC1       NOAM
BOR1       NOAM
ALBH       NOAM
MDO1       NOAM
BRMU       NOAM
IRKT       NOAM
MALI       NOAM
AUCK       NOAM
POL2       NOAM
OHIG       NOAM
REYK       NOAM
