# name          X(m)             Y(m)           Z(m)          VX(m/y)      VY(m/y)       VZ(m/y)    epoch      flag
GRASSE      4581697.4036     556126.1061    4389351.6728     -0.01390      0.01906      0.01100     57023    ITRF2020
BREST       4228877.0993    -333104.3544    4747180.9145     -0.00161     -0.00209      0.00150     57023    ITRF2020
TROMSONO    2102903.6723     721602.9652    5958201.4638     -0.02014      0.02083      0.00773     57023    ITRF2020
NYALES20    1202462.4964     252734.5345    6237766.2293     -0.01452      0.00764      0.01055     57023    ITRF2020
TRYSILNO    2988029.0594     655957.3131    5578669.5358     -0.00648      0.01267      0.02121     57023    ITRF2020
NYALE13S    1201070.6730     252129.3185    6238022.4928     -0.01280      0.00563      0.01021     57023    ITRF2020
NYALE13N    1200992.6442     252098.6612    6238038.9680      0.00000      0.00000      0.00000     57023    R41110
ONSALA60    3370605.7694     711917.7484    5349830.9189     -0.01421      0.01469      0.01034     57023    ITRF2020
ONSA13NE    3370889.2249     711571.2712    5349692.0987     -0.01421      0.01469      0.01034     57023    ITRF2020
ONSA13SW    3370946.7037     711534.5789    5349660.9730     -0.01421      0.01469      0.01034     57023    ITRF2020
METSHOVI    2890652.4418    1310295.5900    5513958.9052     -0.01652      0.01448      0.00998     57023    ITRF2020
METSAHOV    2892584.8179    1311715.6277    5512640.1834     -0.01652      0.01448      0.00998     57023    ITRF2020
CRIMEA      3785230.6851    2551207.6987    4439796.5486     -0.02102      0.01594      0.00964     57023    ITRF2020
BADARY      -838201.1239    3865751.5671    4987670.8866     -0.02705     -0.00023     -0.00384     57023    ITRF2020
BADRT13V    -838326.8009    3865797.2441    4987598.2816     -0.02705     -0.00023     -0.00384     57023    ITRF2020
SVETLOE     2730173.6311    1562442.8201    5529969.1531     -0.01872      0.01344      0.00745     57023    ITRF2020
SVERT13V    2730074.8676    1562230.7831    5530072.7562     -0.01872      0.01344      0.00745     57023    NONE
ZELENCHK    3451207.4931    3060375.4474    4391915.0632     -0.02152      0.01490      0.00880     57023    ITRF2020
ZELRT13V    3451257.1191    3060268.3334    4391933.2242     -0.02152      0.01490      0.00880     57023    NONE
MEDICINA    4461369.6650     919597.1633    4449559.4134     -0.01817      0.01894      0.01136     57023    ITRF2020
NOTO        4934562.8041    1321201.5773    3806484.7657     -0.01773      0.01765      0.01516     57023    ITRF2020
MATERA      4641938.4372    1393003.3616    4133325.8040     -0.01863      0.01913      0.01454     57023    ITRF2020
CHLBOLTN    4008310.2835    -100651.0227    4943794.6497      0.00039      0.00074      0.00052     57023    ITRF2020
CARNUSTY    3526416.4531    -171421.2263    5294098.7852      0.00000      0.00000      0.00000     57023    ITRF2020
DSS65       4849336.5335    -360488.4423    4114749.0664     -0.00870      0.01942      0.01342     57023    ITRF2020
DSS65A      4849339.5356    -360427.4569    4114750.8645     -0.00870      0.01942      0.01342     57023    ITRF2020
YEBES       4848780.1162    -261701.7260    4123035.9651     -0.01002      0.01962      0.01216     57023    ITRF2020
YEBES40M    4848761.7632    -261484.1456    4123085.0320     -0.01002      0.01962      0.01216     57023    ITRF2020
RAEGYEB     4848831.0819    -261629.4904    4122976.5011     -0.01002      0.01962      0.01216     57023    ITRF2020
WETTZELL    4075539.5965     931735.5711    4801629.5465     -0.01598      0.01722      0.00996     57023    ITRF2020
WETTZ13N    4075627.6330     931774.3030    4801552.3836     -0.01598      0.01722      0.00996     57023    ITRF2020
WETTZ13S    4075658.9398     931824.8093    4801516.2517     -0.01598      0.01722      0.00996     57023    ITRF2020
TIGOWTZL    4075572.3923     931755.4292    4801584.5391     -0.01598      0.01722      0.00996     57023    ITRF2020
