%name       obsNum      type     dRa(mas)     dDe(mas)
0013-005       104    define       0.0365      -0.0215
0014+813      1215      none       0.1085      -0.0642
0048-097      1654    define      -0.0082      -0.0693
0059+581      2773    define      -0.0068      -0.0494
0104-408      1954    define       0.0274      -0.0850
0202+149       795      none       0.0118      -0.0092
 NGC1052       285      none       0.0036      -0.0439
0317+188        51      none      -0.0455       0.0024
   CTA26      2381      none      -0.0059      -0.0688
0454-234      2701    define       0.0036      -0.0762
0458-020      2519    define       0.0048      -0.0751
0528+134      1539      none       0.0015      -0.0168
0552+398      2600    define      -0.0188      -0.0170
0556+238       841    define      -0.0225      -0.0377
0642+449      1641      none      -0.1094      -0.0246
0727-115      3488    define       0.0077      -0.0328
0804+499      1406    define      -0.0169      -0.0106
0839+187        32      none       0.0012      -0.2624
   OJ287      2999      none      -0.0448       0.0118
 4C39.25      1746      none       0.1059      -0.0060
0955+476      2699    define      -0.0257       0.0142
1128+385      1595      none      -0.0100      -0.0034
1144-379      2146    define       0.0036      -0.0043
1219+044      1254    define       0.0021       0.0247
   3C274      2265      none       0.0121       0.0029
1308+326      1399      none       0.0080       0.0724
1334-127      2390    define      -0.0037       0.0196
1357+769      1906    define       0.0185       0.0433
1418+546      1284    define       0.0791       0.0118
1606+106      2129    define       0.0205       0.0421
1622-253      1857      none       0.0034       0.0224
 NRAO512      1614      none       0.0145       0.0467
   DA426       356      none      -0.0223       0.0284
1726+455      1455      none       0.0603       0.0461
1741-038      3544    define      -0.0054       0.0078
1745+624       832    define       0.0235       0.0016
1749+096      2971    define       0.0140       0.0171
1908-201      1529    define      -0.0268       0.0755
1920-211       343      none      -0.0099      -0.0018
1921-293      1877    define      -0.0425       0.0078
1954-388      1870    define      -0.0361      -0.0636
2128-123       628      none       0.0523      -0.0705
2143-156       230    define      -0.0054      -0.0106
2145+067      1252      none      -0.0183      -0.0110
2234+282      1281      none      -0.0280      -0.0753
2243-123      1055      none       0.0154      -0.0286
2358+189       147      none       0.0239      -0.0637
0000+212         5      none       0.0151      -0.3049
0004+240         5      none       0.0028      -0.2608
0007+171        25      none       0.3509      -0.1064
0011+189         5      none      -0.1178      -0.3558
0017+200       599    define       0.0060      -0.0416
0016+731       898    define      -0.3915      -0.0301
0024+224         7      none       0.0711      -0.1386
0025+197       232      none      -0.0357      -0.0759
0035+121         5      none      -0.1749       0.1421
0037+139         8      none      -0.0815      -0.0407
0039+230        22      none      -0.0054      -0.0669
0045+243         5      none      -0.0092      -0.0057
0059+163         7      none       0.2127      -0.0764
0109+224       308      none      -0.0231      -0.0927
0113+241         5      none       0.0577      -0.0688
0114+140         7      none       0.2548       0.0903
0119+041       990      none       0.0225      -0.0176
0127+145         8      none       0.2092      -0.1836
0136+176         6      none      -0.0232      -0.0976
0143+230         5      none       0.1202      -0.0064
0144+209         7      none       0.6809      -0.9322
0147+187         5      none       0.0391       0.2117
0149+218        91    define      -0.0152      -0.0425
0153+222         5      none      -0.0784      -0.0364
0156+128         9      none       0.1171       0.0753
0206+136       101      none       0.0072      -0.0905
0210+181         5      none       0.0661      -0.0872
0217+166         8      none       0.1172      -0.1168
0222+185         6      none       0.0070      -0.1085
0229+131      1853      none       0.1499      -0.0045
0229+230         8      none      -0.0936       0.0223
0237+185         8      none      -0.1838       0.3565
0239+175        59    define      -0.0139      -0.0022
0242+238         6      none      -0.0507      -0.0484
0253+133         9      none      -0.1153      -0.1949
0302+173         7      none       0.1318      -0.4266
   CTA21         9      none      -2.6403       8.1220
0322+222       980    define      -0.0025      -0.0438
0341+158        25      none      -0.0136      -0.0031
0344+199         9      none       0.0797      -0.1718
0344+235         9      none       0.0398      -0.1060
0346+209         7      none      -0.0110       0.1682
0354+231         9      none       0.0358       0.0565
0358+210       121      none      -0.0210      -0.0015
0409+229        22      none       0.0145      -0.0137
0409+188         6      none      -0.0926       0.2507
0421+145         7      none       0.1102       0.2492
0423+233        22      none       0.1431       0.0134
0425+174         8      none      -0.0294      -0.0659
0429+174         9      none      -0.0813       0.2087
0459+135        11      none      -0.0666      -0.0454
0508+138        16      none       0.0747       0.0178
0509+152         6      none      -0.0138      -0.0749
0515+208       123    define      -0.0212      -0.0038
0518+211        10      none      -0.1525       0.0866
0611+131        40      none      -0.0271       0.0499
0617+210        11      none      -0.1830       0.1819
0627+176         5      none      -0.0362       0.0853
0628+203         7      none      -0.0311      -0.3243
0629+160         8      none       0.0042      -0.0599
0634+150         5      none      -0.0729       0.0743
0654+244        10      none      -0.0253      -0.0776
0725+219        12      none      -0.1761      -0.0892
0728+249         8      none       0.0479      -0.0606
0735+178        69      none      -0.0336       0.0293
0740+173         7      none       0.0206      -0.0217
0745+241       125      none      -0.0126      -0.0196
0747+185        81      none      -0.0195      -0.0325
0759+183       193    define      -0.0201       0.0014
0802+212         9      none      -0.0312       0.0172
0810+247         7      none       0.0266      -0.0641
0820+225         7      none       0.2120       0.1736
0821+248         5      none       0.0362      -0.0086
0820+560        32      none       0.0722       0.0034
0822+137         6      none       0.0078      -0.1177
0829+187         7      none       0.1519      -0.0852
0836+182        12      none      -0.0107      -0.1217
0854+213         8      none       0.2160       0.1749
0906+163        10      none       0.0043       0.0534
0908+201         7      none      -0.2134      -0.0505
0919-260       353      none      -0.0199      -0.0168
0928+144         7      none      -0.0958      -0.1229
0940+172         7      none      -0.1486       0.0719
0952+179        47      none       0.0230       0.0640
   OK290       790      none       0.1524       0.1948
0954+658       148    define      -0.2027       0.0490
1012+232       109    define       0.0075       0.0349
1013+208         8      none      -0.0559      -0.2188
1020+191         9      none       0.0528       0.0665
1022+194       103    define      -0.0377       0.0692
1023+131        68      none       0.0514       0.0204
1033+223         5      none      -0.0029       0.0235
1034-293      2136      none      -0.0019       0.0140
1042+178         6      none       0.0283       0.0721
1044+719      1103      none      -0.0605       0.0140
1049+215        61      none       0.0079       0.0031
1053+815       792      none      -0.1289       0.0557
1055+201         8      none      -0.0059       0.1665
1056+212        18      none      -0.0213       0.0161
1100+223         5      none       0.0000      -0.1022
1104+167         5      none      -0.0068       0.2436
1108+201         6      none      -0.1753       0.5583
1117+146         7      none     -12.3623      10.2589
1119+183         6      none       0.1670       0.1219
1121+238         8      none       0.1152      -0.2424
1123+203         6      none      -0.0670      -0.0068
1125+213         7      none       0.1483       0.1156
1140+188         6      none       0.0690       0.1459
1146+189         5      none       0.0078      -0.0254
1155+169         5      none       0.0627       0.1271
1156+295      1593      none      -0.0004       0.0221
1208+186         5      none       0.0557       0.0015
1210+197         7      none      -0.0871      -0.1009
1212+171       130      none       0.0598       0.0650
1222+216         9      none      -0.0796       0.1295
1235+196         5      none       0.0322       0.0622
1253+185         5      none       0.0141      -0.0712
1308+145         5      none       0.0503      -0.1372
1308+172         5      none       0.0570      -0.0872
1313+200         5      none       0.2632      -0.2112
1318+225        21      none      -0.0149       0.0187
1324+224       999    define       0.0215       0.0321
1331+170         6      none      -0.0765       0.0268
1344+188         5      none       0.0269      -0.0392
1410+138         5      none       0.0792       0.0178
1413+135       159      none      -0.0010       0.0444
1423+146        82    define       0.0629       0.1188
1424+240        65      none       0.0636       0.0693
1432+200       125      none       0.0057       0.0330
1434+235         7      none      -0.0078      -0.0659
1444+175        10      none      -0.0469       0.0631
1510-089       298    define       0.0209       0.0827
1511+238         5      none       0.1593       0.4495
1514+197       310    define       0.0352      -0.0015
1522+155        40      none       0.0273       0.1348
1537+162         6      none      -0.1708      -0.0239
1551+130         7      none       0.0910      -0.4880
1604+159         5      none      -0.0062       0.1759
1609+190         5      none       0.0280       0.1479
1611+343      1286      none       0.0211       0.0434
1613+216         5      none      -0.1461       0.0303
1617+229       463      none       0.0070       0.0430
1626+229         6      none       0.0144      -0.2335
 1633+38       186      none       0.0467       0.0571
1634+213         7      none      -0.0095      -0.0621
1637+574       127      none       0.0817       0.0327
1639+230       738      none       0.0383      -0.0148
1642+183         5      none      -0.1961       0.3127
1645+224        47      none      -0.0244      -0.0223
1654+185         6      none      -0.0574      -0.0634
1700+151         6      none       0.0868       0.1189
1705+135        15      none       0.0938       0.1095
1714+219         5      none      -0.0347       0.0778
1737+222         5      none       0.0093       0.0099
1739+522      1322      none       0.0729       0.0315
1742+228         4      none      -0.0041       0.1030
1743+182         5      none      -0.2233       0.2844
1746+197         5      none      -0.0594      -0.0456
1750+175         5      none      -0.0023       0.1416
1753+204        10    define      -0.0665       0.0682
1754+159        18      none       0.0582      -0.0042
1756+237         6      none      -0.1509      -0.1605
1803+784      1510      none       0.1302       0.0318
1819+159         5      none      -0.3758       0.3057
1824+185         6      none      -0.6453       0.1380
1830+139         7      none      -0.1363       0.0201
1841+131         5      none      -0.0628      -0.0915
1901+155        20      none       0.0265       0.0584
1909+161       405    define       0.0182      -0.0715
1920+154         6      none      -0.0337      -0.1595
1922+155         7      none       0.0395      -0.0190
1923+210      1137      none       0.0618       0.0178
1926+233         5      none       0.0030       0.1396
1932+204        23      none       0.0029      -0.0838
1944+126         5      none      -0.1589       0.1429
1952+138        16      none      -0.1753       0.3979
1958-179      1268      none      -0.0055      -0.0214
2000+148        91    define       0.0119      -0.0880
2007+777        40      none       1.3844       0.0217
2013+163       381      none       0.0314      -0.0309
2021+222         5      none       0.0069       0.1080
2022+171         6      none      -0.0010      -0.0058
2031+216         5      none      -0.0182       0.0854
2037+216        21    define      -0.0153      -0.0514
2040+127         5      none       0.0408       0.0595
2049+175         6      none      -0.0639       0.1663
2050+161         5      none      -0.0878      -0.2771
2103+213         6      none      -0.0443       0.1210
2106+143        80      none      -0.0019       0.0932
2118+188         5      none      -0.0737      -0.0005
2152+172         5      none      -0.0272      -0.0564
2152+226         7      none       0.0379      -0.0210
2201+315       837      none       0.0411      -0.0034
2201+171       100      none       0.0797      -0.0306
2205+166        35      none      -0.0487      -0.0157
2209+236       579    define       0.0758      -0.0136
2216+178        21      none      -0.0345      -0.0254
2223+210         6      none      -0.0095       0.0878
2236+124         5      none       0.0065       0.0436
2246+208         6      none      -0.0114      -0.0796
2247+132         6      none      -0.8675       0.0221
2250+194       226    define       0.0124      -0.0568
2255-282      2481      none       0.0090       0.0266
2302+232        26      none       0.0738      -0.0126
2305+198         5      none       0.1191       0.0672
2319+184         4      none       0.0350       0.1076
2324+151         9      none      -0.1053      -0.0099
2338+191         8      none       0.0315      -0.1204
2340+233         6      none      -0.0390      -0.0526
2356+196        16      none      -0.0886      -0.0153
0201+113       794      none       0.0238      -0.0970
0400+258        67      none       0.1162      -0.1083
0402-362       942    define       0.0487      -0.0545
0718+793      1562      none      -0.3639      -0.0065
1004+141       256      none      -0.0065       0.0153
1402+044        35      none       0.0952      -0.0140
1451-400        99    define       0.0096      -0.0597
   3C371      1478      none       0.2059       0.0184
1936-155       606    define       0.0385      -0.0628
   3C446      1897      none      -0.0097      -0.0371
1038+52A       229      none       0.1241       0.3966
   3C279       140      none       0.0928       0.0413
1313-333       344    define      -0.0017       0.0673
1937-101        43    define       0.1455       0.1780
2008-159      1124    define      -0.0064      -0.0853
2216-038        82    define       0.0158       0.2647
0537-441      2305      none       0.0128      -0.0519
0637-752       483      none       0.0374      -0.0582
1424-418      2195    define      -0.0155       0.0094
1610-771       248      none       0.5515      -0.0874
0003-066      1892      none       0.0351      -0.0915
0434-188       294      none       0.0035      -0.0436
2126-158      1345      none      -0.0151      -0.1258
0208-512       553    define       0.0822      -0.0816
0530-727       452    define       0.1896      -0.0903
0823+033      1599      none      -0.0006       0.0151
1057-797      1838      none       0.1676      -0.0201
1104-445       726      none       0.0093      -0.0516
1124-186      2388    define       0.0103       0.0213
1815-553       268    define      -0.0815      -0.0453
2052-474      1608    define      -0.0140      -0.0396
0111+021       340      none       0.0266      -0.1204
0133+476      2204    define       0.0680      -0.0502
0338-214       265      none      -0.0066      -0.0618
0544+273       467    define      -0.0280      -0.0160
0920+390       336    define      -0.0252      -0.0074
     M81        61      none      -0.0905       0.0325
1101+384       639      none       0.0099       0.0367
1351-018      1643    define       0.0261       0.0662
1508+572        91    define       0.0648       0.0301
1514-241       297      none      -0.0009       0.0274
1557+032        78    define       0.0005      -0.0134
2155-152        90      none       0.0238       0.2618
2233-148        21      none      -0.0422      -0.1069
0920-397      1059      none       0.0415      -0.0394
1255-316      1586      none       0.0227       0.1051
0430+289       217    define      -0.0244      -0.0229
0554+242        27      none       0.1537       0.1135
1014+615        85      none       0.0372       0.0138
1308+328       428    define      -0.0120       0.0351
2335-027       373    define       0.0528       0.0326
0457+024        44      none       0.0152      -0.0717
2121+053       842      none       0.0634      -0.0640
0106+013       807      none       0.0808      -0.0274
0119+115      1874      none       0.0818       0.0335
   OQ208       875      none       0.0222       0.1064
2227-088       922    define       0.0035      -0.0772
  3C273B        61      none      -0.2930       0.1888
2005-489        65      none       0.2964      -0.0066
0235+164      1067    define      -0.0143      -0.0604
0239+108        89      none       0.0374      -0.0066
2318+049      1481    define       0.0085      -0.0279
0019+058       647      none      -0.0089      -0.0461
1148-001        20      none       0.3861       0.3374
2320-035        49      none       0.0815       0.0063
0146+056        41      none      -0.0201      -0.0399
0454+844       501    define      -0.2614       0.0238
0917+624       145      none       0.0263       0.0122
1622-297        74      none      -0.0453       0.0102
0308-611      1307    define      -0.0288      -0.0708
1101-536        35    define       0.2576      -0.0043
 NRAO530       298    define      -0.0024       0.0012
2109-811        12    define      -0.3337      -0.1151
0749+540      1193    define      -0.0528       0.0035
0805+410       854    define      -0.0193       0.0695
1300+580      1462    define      -0.0035       0.0574
0259+121         9      none       0.2362       0.2344
1342+663        95      none       0.1217       0.0493
0054+161       218    define      -0.0149      -0.0424
0103+127         7      none      -0.0777       0.1491
0111+131         5      none       0.3005      -0.0256
0209+168         6      none       0.0381       0.0556
0254+185         7      none       0.1044       0.0523
0423+237         7      none       0.0652      -0.2528
0519+142         4      none       0.2330       0.0259
0740+235         6      none       0.1973      -0.0313
1449+139         5      none      -1.5366      -1.2580
1601+160         5      none       0.0040       0.1545
1829+219         6      none       0.0123       0.0565
1908+230         5      none       0.0817       0.1733
2157+213         5      none       0.0515      -0.0279
0306+102       132      none       0.0168      -0.0380
0609+607        21      none      -0.1597       0.0339
0736+017       467    define       0.0187      -0.0296
1145-071       223      none      -0.0173      -0.0219
1656+053        59      none      -0.0109      -0.0273
2149+056       668    define       0.0116      -0.0076
0147-076         6      none       0.5038       1.4022
0600+219         8      none       0.0642      -0.2285
1038+52B         6      none      -1.3580       0.2259
1043+066        13      none       0.1011      -0.5832
1150+812        51      none      -0.0522       0.0097
1221+809       124    define      -0.0279       0.0276
1239+376        16      none      -0.0959       0.1199
1448+762       100    define       0.2510       0.0647
